Model_Formulation,Primary_Vortex_X,Primary_Vortex_Y,Primary_Psi_Min,BR_Secondary_X,BR_Secondary_Y,BR_Psi_Max,Kinetic_Energy,Enstrophy,L2_Error_U_pct,L2_Error_V_pct,Linf_Error_U,Linf_Error_V
Reference_FDM,0.536,0.5720000000000001,-0.1067412529422363,0.856,0.116,0.001765622023801381,0.03736950609812874,29.56683273558705,10.418283455318827,10.412428425580625,0.0700902632398285,0.04992146531472874
Psi_P_PINN,0.5016722408026756,0.6655518394648829,-0.14794525504112244,0.6020066889632107,0.0,-0.0,0.05053906739368128,2.457692202827709,44.39621722736668,34.22953889817911,0.3523995938038823,0.23978491389453416
Psi_Omega_PINN,0.5016722408026756,0.6655518394648829,-0.14803799986839294,0.6020066889632107,0.0,0.0,0.05058702110085457,2.4591332171899642,44.45636536508868,34.22172219432548,0.35272268595755074,0.23972434424459932
